"","Participant","MAAS_1","MAAS_2","MAAS_3","MAAS_4","MAAS_5","MAAS_6","MAAS_7","MAAS_8","MAAS_9","MAAS_10","MAAS_11","MAAS_12","MAAS_13","MAAS_14","MAAS_15","Nomo1_1","Nomo1_2","Nomo1_3","Nomo1_4","Nomo1_5","Nomo1_6","Nomo1_7","Nomo1_8","Nomo1_9","Nomo2_1","Nomo2_2","Nomo2_3","Nomo2_4","Nomo2_5","Nomo2_6","Nomo2_7","Nomo2_8","Nomo2_9","Nomo2_10","Nomo2_11","sleep_hours","sleep_quality","sleep_effects","sleep_onset","sleep_phone","SSS.1","SSS.2","SSS.3","SSS.4","SSS.5","SSS.6","SSS.7","SSS.8","SSS.9","SSS.10","SSS.11","SSS.12","SSS.13","SSS.14","SSS.15","SSS.16","SSS.17","SSS.18","SSS.19","SSS.20","SSS.21","SSS.22","SSS.23","SSS.24","SSS.25","SSS.26","SSS.27","SSS.28","SSS.29","SSS.30","SSS.31","SSS.32","SSS.33","SSS.34","SSS.35","SSS.36","SSS.37","SSS.38","SSS.39","SSS.40","Reliance_1","Reliance_2","Reliance_3","Reliance_4","Reliance_5","Reliance_6","Reliance_7","Reliance_8","Reliance_9","Reliance_10","Reliance_11","Reliance_12","Reliance_13","ASRS1_1","ASRS1_2","ASRS1_3","ASRS1_4","ASRS1_5","ASRS1_6","ASRS2_1","ASRS2_2","ASRS2_3","ASRS2_4","ASRS2_5","ASRS2_6","ASRS2_7","ASRS2_8","ASRS2_9","ASRS2_10","ASRS2_11","ASRS2_12","Sex","Gender","Age","Race.s.","OwnSP","SPhours_1","OwnSW","id","ADHD1","ADHD2","ADHD3","ADHD4","ADHD5","ADHD6","ADHD7","ADHD8","ADHD9","ADHD10","ADHD11","ADHD12","ADHD13","ADHD14","ADHD15","ADHD16","ADHD17","ADHD18","MAAS_avg","NOMO_sum","ADHD_sum","SSS_sum","reliance_sum","ADHD_z","NOMO_z","SSS_z","reliance_z","MAAS_z","SSS_TAS","SSS_ES","SSS_Dis","SSS_BS"
"175",184,2,2,2,1,6,4,3,3,3,3,3,2,2,2,2,5,5,2,6,7,7,6,6,6,7,7,7,7,7,4,1,3,3,3,1,7,4,2,3,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,4,4,5,5,4,4,4,4,4,4,3,1,2,1,0,0,4,4,3,3,4,2,1,2,1,2,3,4,4,3,3,2,2,2,"1",1,3.2,1,18382,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,2.66666666666667,100,11,21,48,1.43403243878909,0.829627996891765,0.484953199664208,0.75335395891074,-1.26149560848899,4,5,6,5
"176",185,2,6,3,2,1,1,2,2,2,2,2,3,2,3,6,7,7,7,7,6,7,5,4,6,7,7,5,5,6,7,3,5,3,3,7,6,3,2,3,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,4,2,2,4,2,2,4,1,1,3,4,4,4,0,1,0,3,4,3,1,3,2,3,1,0,3,3,0,2,0,3,2,2,2,"1",1,4.9,1,NA,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,2.6,114,10,13,37,1.13342770076113,1.44080100473784,-0.881033302131657,-0.491721180077207,-1.34678375713718,2,5,4,2
"177",186,3,5,4,3,3,3,4,3,2,4,2,5,2,3,3,6,5,4,5,4,5,5,4,5,5,5,5,5,5,4,3,4,4,2,5,8,4,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,4,3,3,4,3,2,4,3,4,4,4,3,4,2,1,2,3,2,3,2,2,1,1,2,1,2,2,3,2,2,1,2,2,1,"1",1,4.9,1,22282,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3.26666666666667,90,6,13,45,-0.0689912513506776,0.39307584843028,-0.881033302131657,0.413788011914027,-0.493902270655292,6,2,3,2
"178",187,3,4,3,2,5,1,2,3,3,3,2,4,1,2,4,4,5,3,5,5,4,4,5,4,4,4,4,4,5,4,1,2,1,3,1,9,2,2,7,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,3,1,2,2,1,1,2,1,2,2,2,2,3,0,0,1,2,4,2,2,2,1,1,2,1,4,4,2,2,0,2,2,2,4,"5",1,5.9,2,12343,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,2.8,72,5,18,24,-0.36959598937863,-0.392718018800394,-0.0272917385092412,-1.96317361706296,-1.09091931119262,7,7,3,0
"179",188,2,5,3,3,5,5,4,3,4,4,3,3,1,4,6,2,6,2,5,5,1,2,6,6,3,6,5,5,6,3,2,2,2,6,5,7,4,3,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,4,2,4,4,4,4,2,2,4,2,4,4,3,2,1,3,1,1,1,2,3,2,3,0,1,2,0,2,1,1,2,2,4,"1",1,2,2,NA,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.66666666666667,80,6,10,44,-0.0689912513506776,-0.0434763000312056,-1.39327824030511,0.300599362915123,0.0178266212338426,2,3,2,2
"180",189,4,3,4,2,4,2,4,3,5,4,3,5,3,3,6,2,5,2,5,5,1,2,6,6,3,5,5,5,5,2,1,2,3,2,5,7.5,4,3,4,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,3,2,2,4,2,2,4,3,2,4,1,2,2,4,3,1,2,2,1,3,3,0,1,2,2,2,1,2,2,2,4,"1",1,3.9,2,NA,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,3.66666666666667,72,8,11,32,0.532218224705228,-0.392718018800394,-1.22252992758062,-1.05766442507173,0.0178266212338426,5,3,1,2
"181",190,5,5,4,4,6,6,6,5,5,4,6,6,4,5,6,5,5,2,5,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,10,4,5,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,2,1,1,1,2,0,1,2,0,1,1,0,1,0,1,0,0,0,2,2,2,"3",1,1,2,22327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13333333333333,37,1,26,17,-1.57201494149044,-1.92065053841559,1.33869476328662,-2.75549416005529,1.894165891494,9,7,7,3
"182",191,6,6,5,3,3,5,3,4,4,4,2,2,2,3,4,2,3,1,2,2,1,2,5,6,2,3,3,2,3,1,1,1,2,1,6,7,4,4,3,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,2,1,1,3,4,3,4,3,1,5,2,4,4,1,2,2,3,4,2,1,2,1,3,2,0,2,1,2,2,0,1,2,2,6,"1",1,3,2,NA,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.73333333333333,49,6,19,37,-0.0689912513506776,-1.39678796026181,0.143456574215242,-0.491721180077207,0.103114769882032,8,5,3,2
"183",192,4,6,3,1,6,6,5,4,4,5,4,3,1,4,3,6,7,2,7,3,6,6,7,6,5,5,6,5,6,2,1,6,7,2,2,8,3,2,7,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,4,1,3,5,2,4,5,2,1,2,1,5,5,1,2,1,4,2,1,2,3,1,1,4,0,2,2,2,1,1,1,2,2,2,"1",1,3.5,2,NA,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3.93333333333333,97,4,21,40,-0.670200727406583,0.698662352353319,0.484953199664208,-0.152155233080494,0.358979215826599,3,5,9,4
"184",193,3,5,3,2,2,4,3,4,3,3,3,4,3,3,4,5,6,5,7,6,6,6,7,6,5,5,3,5,5,3,2,3,3,2,2,7,4,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,4,4,3,4,4,5,5,4,4,3,4,2,3,3,1,1,2,4,3,1,2,1,3,4,4,2,3,2,1,2,2,2,2,3,"1",1,3.9,2,NA,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,3.26666666666667,92,8,11,49,0.532218224705228,0.480386278122577,-1.22252992758062,0.866542607909644,-0.493902270655292,4,4,2,1
"185",194,2,2,3,2,2,2,4,5,1,4,5,6,2,3,5,2,5,2,5,3,3,6,6,6,3,2,2,3,2,2,2,2,2,5,5,8,4,3,8,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,4,4,2,4,4,4,4,4,4,4,3,2,4,1,1,0,2,4,3,2,3,1,3,3,0,3,3,2,0,0,1,2,2,5,"1",1,8.1,2,11197,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,3.2,68,7,16,47,0.231613486677275,-0.567338878184988,-0.368788363958207,0.640165309911835,-0.57919041930348,8,3,3,1
