age,min,plate,light,time,n,mm_mean,mm_sem,velocity,sem (some sort),,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 1,off,0:20:00-0:30:00,10,4036.17,3078.62,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 1,on,0:30:00-0:40:00,10,3969.67,1937.12,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 2,off,Start-0:10:00,10,3316.51,1389.47,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 3,on,Start-0:10:00,10,776.827,162.741,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 3,off,0:10:00-0:20:00,10,1080.31,114.869,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 3,on,0:20:00-0:30:00,10,579.96,188.74,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 3,off,0:30:00-0:40:00,10,932.565,147.78,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 4,on,Start-0:10:00,10,531.225,150.244,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 4,off,0:10:00-0:20:00,10,1367.47,164.647,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 4,on,0:20:00-0:30:00,10,877.408,373.628,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 4,off,0:30:00-0:40:00,10,1163.72,180.537,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 5,on,Start-0:10:00,10,1287.26,260.163,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 5,off,0:10:00-0:20:00,10,1436.09,256.539,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 5,on,0:20:00-0:30:00,10,612.739,212.33,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 5,off,0:30:00-0:40:00,10,1511.39,344.238,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 6,on,Start-0:10:00,10,811.161,148.18,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 6,off,0:10:00-0:20:00,10,1299.46,132.723,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 6,on,0:20:00-0:30:00,10,696.784,159.69,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 6,off,0:30:00-0:40:00,10,1212.72,158.104,,,,,,,,,,,,,,,,,,,,,,,
