experiment,age,well shape,opacity,light,min,n,n wells,time interval,time moving (s),distance moved (mm)
dti,7dpf,round,clear,off,10,10,96,Start-0:10:00,,3316.51
dti,7dpf,round,clear,on,10,10,96,Start-0:10:00,,776.827
dti,7dpf,round,clear,off,10,10,96,0:10:00-0:20:00,,1080.31
dti,7dpf,round,clear,on,10,10,96,0:20:00-0:30:00,,579.96
dti,7dpf,round,clear,off,10,10,96,0:30:00-0:40:00,,932.565
dti,7dpf,round,clear,on,10,10,96,Start-0:10:00,,531.225
dti,7dpf,round,clear,off,10,10,96,0:10:00-0:20:00,,1367.47
dti,7dpf,round,clear,on,10,10,96,0:20:00-0:30:00,,877.408
dti,7dpf,round,clear,off,10,10,96,0:30:00-0:40:00,,1163.72
dti,7dpf,round,clear,on,10,10,96,Start-0:10:00,,1287.26
dti,7dpf,round,clear,off,10,10,96,0:10:00-0:20:00,,1436.09
dti,7dpf,round,clear,on,10,10,96,0:20:00-0:30:00,,612.739
dti,7dpf,round,clear,off,10,10,96,0:30:00-0:40:00,,1511.39
dti,7dpf,round,clear,on,10,10,96,Start-0:10:00,,811.161
dti,7dpf,round,clear,off,10,10,96,0:10:00-0:20:00,,1299.46
dti,7dpf,round,clear,on,10,10,96,0:20:00-0:30:00,,696.784
dti,7dpf,round,clear,off,10,10,96,0:30:00-0:40:00,,1212.72
at,5dpf,round,clear,,,96,96,Start-0:01:00,1.16625,10.8724
at,5dpf,round,clear,,,96,96,0:01:00-0:02:00,1.6,12.7623
at,5dpf,round,clear,,,96,96,0:02:00-0:03:00,1.92833,14.7007
at,5dpf,round,clear,,,96,96,0:03:00-0:04:00,2.27708,16.1784
at,5dpf,round,clear,,,96,96,0:04:00-0:05:00,7.91417,40.1102
at,5dpf,round,clear,,,96,96,0:05:00-0:06:00,12.9067,56.8476
at,5dpf,round,clear,,,96,96,0:06:00-0:07:00,12.7021,57.0184
at,5dpf,round,clear,,,96,96,0:07:00-0:08:00,12.7908,57.3207
at,5dpf,round,clear,,,96,96,0:08:00-0:09:00,6.48583,32.291
at,5dpf,round,clear,,,96,96,0:09:00-0:10:00,3.18708,20.1507
at,5dpf,round,clear,,,96,96,0:10:00-0:11:00,3.12292,20.4325
at,5dpf,round,clear,,,96,96,0:11:00-0:12:00,3.17167,20.2897
at,5dpf,round,clear,,,74,96,Start-0:01:00,5.76757,29.554
at,5dpf,round,clear,,,74,96,0:01:00-0:02:00,5.37405,27.5471
at,5dpf,round,clear,,,74,96,0:02:00-0:03:00,6.40541,32.9238
at,5dpf,round,clear,,,74,96,0:03:00-0:04:00,7.77081,36.9782
at,5dpf,round,clear,,,74,96,0:04:00-0:05:00,31.3351,113.629
at,5dpf,round,clear,,,74,96,0:05:00-0:06:00,33.6941,111.91
at,5dpf,round,clear,,,74,96,0:06:00-0:07:00,29.3395,97.4646
at,5dpf,round,clear,,,74,96,0:07:00-0:08:00,27.7859,94.7232
